pair_id,regime,source,n_tokens,n_chars,avg_word_length,type_token_ratio,pct_stopwords,n_proper_nouns,n_numbers,n_entities,has_quote,has_date,has_person,n_sentences,avg_sent_length,max_depth,n_clauses,is_cultural,is_medical,is_scientific,is_historical,is_geographic,has_superlative,has_negation,is_surprising,is_declarative,brevity,references_fiction,references_brand
star_trek_beam_raw,1,mandela_exp_raw,5,18,3.0,1.0,0.4,1,0,0,0,0,0,1,5.0,1,0,0,0,0,0,0,0,0,0,1,0.05263157894736842,1,0
star_trek_beam_context,1,mandela_exp_context,14,52,3.2142857142857144,0.9285714285714286,0.21428571428571427,5,0,1,1,0,1,1,14.0,3,1,0,0,0,0,0,0,0,0,1,0.018867924528301886,1,0
snow_white_mirror_raw,1,mandela_exp_raw,6,26,3.6666666666666665,0.8333333333333334,0.3333333333333333,0,0,0,0,0,0,1,6.0,3,0,1,0,0,0,0,0,0,0,1,0.037037037037037035,0,0
snow_white_mirror_context,1,mandela_exp_context,16,63,3.375,0.8125,0.25,5,0,1,1,0,1,1,16.0,4,1,1,0,0,0,0,0,0,0,1,0.015625,0,0
forrest_gump_chocolates_raw,1,mandela_exp_raw,7,32,3.7142857142857144,1.0,0.42857142857142855,0,0,0,0,0,0,1,7.0,4,0,1,0,0,0,0,0,0,0,1,0.030303030303030304,0,0
forrest_gump_chocolates_context,1,mandela_exp_context,17,70,3.4705882352941178,0.9411764705882353,0.35294117647058826,2,0,1,1,0,1,1,17.0,5,1,1,0,0,0,0,0,0,0,1,0.014084507042253521,1,0
wizard_of_oz_toto_raw,1,mandela_exp_raw,11,43,3.272727272727273,1.0,0.36363636363636365,2,0,1,1,0,0,1,11.0,3,1,0,0,0,0,0,0,1,0,1,0.022727272727272728,1,0
wizard_of_oz_toto_context,1,mandela_exp_context,21,79,3.1904761904761907,0.9047619047619048,0.3333333333333333,5,0,3,1,0,1,1,21.0,4,2,0,0,0,0,0,0,1,0,1,0.0125,1,0
money_root_evil_raw,1,mandela_exp_raw,7,29,3.2857142857142856,1.0,0.5714285714285714,0,0,0,0,0,0,1,7.0,4,0,0,0,0,0,0,0,0,0,1,0.03333333333333333,0,0
money_root_evil_context,1,mandela_exp_context,12,46,3.25,0.9166666666666666,0.4166666666666667,1,0,1,1,0,0,1,12.0,5,1,0,0,0,0,0,0,0,0,1,0.02127659574468085,0,0
apollo_13_raw,1,mandela_exp_raw,6,26,3.6666666666666665,1.0,0.5,1,0,1,0,0,0,1,6.0,2,0,0,0,0,0,0,0,0,0,1,0.037037037037037035,0,0
apollo_13_context,1,mandela_exp_context,17,78,4.0,0.8823529411764706,0.35294117647058826,2,1,2,1,0,0,1,17.0,3,1,0,0,0,0,0,0,0,0,1,0.012658227848101266,0,0
